subject,age,gender,ntrial,memory_ori,test_ori,type,trial_type,which_change,trial,quest,pas,pas_rt,vis,test_key,test,test_rt,contrast,fix_dur,target_dur,mask_dur,retention_dur,trial_dur
29,20,male,1,105,105,same,valid,anti,3,1,1,1.9777521346167077,0,j,change,3.8475542229379016,0.2,0.5101588931647711,0.03532448772557473,0.35333307462110497,1.00105484047981,9.476864869129486
29,20,male,2,75,75,same,valid,clock,4,2,2,1.7439191124331046,1,f,same,2.0690360861922272,0.2,0.4994603924878902,0.03535046585841428,0.35327630759002204,1.0010808186126496,7.428505452361151
29,20,male,3,45,95,change,catch,clock,3,0,1,0.6191336324774284,0,j,change,2.9400832005829898,0,0.4993468584259517,0.03532609131400477,0.35331447299506635,1.001059009809751,8.700186689766952
29,20,male,4,45,95,change,catch,clock,4,1,2,1.6245819845818232,1,f,same,2.860180878362371,0,0.5003311410141578,0.03534116504545182,0.3532795147669958,1.0010667070342834,9.679108802513952
29,20,male,5,45,95,change,valid,clock,4,0,2,1.6475456918474265,1,j,change,1.504664357713068,0.2,0.4996095262133622,0.03531518691272595,0.3533180008896579,1.0010558026328908,6.7806727181817905
29,20,male,6,75,25,change,valid,anti,1,2,1,1.3402865997413755,0,j,change,1.8503826322391888,0.11397766455402543,0.5001618020742171,0.03536008738922192,0.35327598687240425,1.0010455396668476,6.8288034632378185
29,20,male,7,165,215,change,valid,clock,4,0,2,0.8785820557810666,1,f,same,9.430633734946696,0.0723357464867447,0.4991047165706277,0.035423589491642815,0.35323429357276837,1.0010577269390524,13.881355301639815
29,20,male,8,165,165,same,valid,anti,1,1,4,2.7153434870416504,1,f,same,1.364796166269116,0.33948538693435915,0.5000364014576917,0.035290491650584954,0.3533125486890185,1.001057406221321,7.664140907958199
29,20,male,9,105,55,change,valid,anti,1,1,3,1.7392767238816305,1,j,change,1.8084709238946743,0.277883819201003,0.4999892559573027,0.03530620681738128,0.35333147103256124,1.0010436153607998,7.158347623979012
29,20,male,10,15,15,same,valid,clock,3,2,3,0.6104450695588639,1,f,same,1.3980879452805084,0.24043453680453014,0.49946969330096636,0.03535944595387264,0.35328721199152824,1.0010699142111434,5.614490923208336
29,20,male,11,15,15,same,valid,anti,3,0,1,0.8206379908704093,0,j,change,1.2565889043867173,0,0.5003321031672385,0.03536457743689425,0.3532464808449731,1.0010718385174187,7.228798075180748
29,20,male,12,15,65,change,catch,clock,3,2,2,1.1649146393834826,1,f,same,6.213395928873865,0,0.5003083700581783,0.03533827858632321,0.35330613433507096,1.0010378424423152,12.540976014486205
29,20,male,13,15,15,same,catch,clock,1,0,1,0.8270302151343003,0,j,change,1.6876562496491943,0,0.49943120717819056,0.03534084432772033,0.3533324331857557,1.0010747249765473,7.699609397926338
29,20,male,14,105,55,change,valid,anti,2,1,2,1.37477914578119,1,j,change,1.2705471796567736,0.2361351957338891,0.4994238306713896,0.03534116504545182,0.35332024591355093,1.0010439360784176,6.262448095851028
29,20,male,15,45,45,same,valid,anti,3,1,3,1.221381478617559,1,f,same,1.7159666415118409,0.20435316182746724,0.4995736058322109,0.03531807337196824,0.3532939470629799,1.0010432946429546,6.521290362722084
29,20,male,16,75,75,same,valid,clock,1,1,3,1.5072913563055863,1,f,same,1.6461524942055803,0.17691399892921375,0.5005357589000141,0.03529658528668733,0.3533109451004748,1.0010368802893481,6.746871639480105
29,20,male,17,75,75,same,valid,anti,3,1,3,1.3573994542027776,1,f,same,1.2519763425805195,0.15369661090354697,0.4997108730030959,0.035286643038489274,0.35333980969244294,1.0010234101464448,6.215845891301797
29,20,male,18,135,135,same,valid,anti,4,2,2,3.3758416834855325,1,f,same,1.1741820977310908,0.20821230939956695,0.49960984693098,0.03532128054894201,0.35332794313808336,1.001037201006966,8.17067120118736
29,20,male,19,45,45,same,valid,clock,1,2,3,0.5255847725807143,1,f,same,1.0371201860675683,0.18435721902886748,0.4999228673957532,0.035336354280161686,0.35332345309029733,1.0010327109594073,5.14373348103436
29,20,male,20,165,165,same,valid,clock,5,1,3,0.7462869711325766,1,f,same,1.0228719820065635,0.1315715714680637,0.5005020835426421,0.035332184950220835,0.3533289052911641,1.0010368802893481,5.368834643411674
29,20,male,21,165,215,change,valid,clock,2,1,2,1.573840918253154,1,j,change,2.389298677007446,0.1103528035241932,0.4996387115231755,0.03532448772557473,0.3532804769199629,1.0010801771773004,7.557790922214053
29,20,male,22,75,25,change,valid,anti,4,1,2,0.4121764319322665,1,f,same,1.250945235209656,0.08867192557182357,0.5003093322111454,0.035326732749581424,0.3533372439510458,1.001010260720932,5.26265495876055
29,20,male,23,75,25,change,catch,anti,1,0,1,1.261191203226872,0,j,change,2.149571505131462,0,0.4997394168774463,0.0353058860996498,0.35329843711065223,1.0010756871297417,8.547893574324917
29,20,male,24,165,165,same,valid,clock,1,0,2,0.4894087793900326,1,f,same,1.6130149804025677,0.05517235490842054,0.49999855677037885,0.03533795786847804,0.35330324787605605,1.0010593305273687,5.733063139370643
