subject,age,gender,ntrial,memory_ori,test_ori,type,trial_type,which_change,trial,quest,pas,pas_rt,vis,test_key,test,test_rt,contrast,fix_dur,target_dur,mask_dur,retention_dur,trial_dur
13,22,male,1,45,355,change,catch,anti,1,2,3,2.2546093827172626,1,f,same,4.709879896907751,0,0.5029900692368301,0.03533945608523936,0.35329449632263277,1.0010375280469361,12.20172624140946
13,22,male,2,135,135,same,valid,clock,5,2,2,3.4528195746745496,1,j,change,3.576932303780495,0.2,0.4994935836828063,0.035352284870896256,0.3532781396208975,1.0010330379718653,10.83237106749607
13,22,male,3,45,45,same,catch,clock,3,2,2,1.9316639448259139,1,f,same,3.182632197429939,0,0.4993726723771488,0.035338173206582724,0.3532967413600545,1.0010663928148915,10.431494604854151
13,22,male,4,45,95,change,valid,clock,4,2,2,0.6869721756465879,1,f,same,4.012665539444015,0.11397766455402543,0.49982777355148755,0.03532406154226919,0.35328359185473346,1.001066072095,8.488597454512274
13,22,male,5,45,95,change,valid,clock,2,0,2,1.1726722488990617,1,j,change,8.07012021855121,0.2,0.49983707442106606,0.03533143809409012,0.3532358046277295,1.0011286124258731,13.04662750465991
13,22,male,6,75,75,same,catch,clock,4,0,1,1.3327716463309116,0,j,change,9.033085759149799,0,0.5000327134036979,0.035322137224284234,0.3532935341636403,1.00108531527394,15.649141048650563
13,22,male,7,135,185,change,catch,clock,2,0,3,1.053304887639115,1,f,same,1.9335901870051657,0,0.5007533704429079,0.035311874195713244,0.3533365105959092,1.0010304722147794,8.254164865291386
13,22,male,8,45,95,change,valid,clock,4,1,3,0.6401208086754195,1,f,same,1.6326746607107907,0.2,0.5002729324164648,0.035307384120869756,0.3532672351529982,1.001044583879093,6.027981826742007
13,22,male,9,135,135,same,valid,clock,5,1,2,1.9572592967003857,1,f,same,3.8821653579166195,0.09338226537841544,0.4992248206212935,0.03528782022249288,0.35334260426930086,1.0010340001308577,9.630270225542972
13,22,male,10,15,325,change,valid,anti,3,2,1,0.9939416059330597,0,j,change,3.238661277721576,0.056143516159837065,0.49967222452437454,0.035326306579690936,0.3533121359030247,1.0010484325148354,7.982220265119622
13,22,male,11,75,125,change,valid,clock,5,2,2,1.6229443474446725,1,f,same,4.4253499372032365,0.16391670208980944,0.499729312620957,0.03535356774932552,0.3533044386315396,1.0010753729650332,9.80760092726473
13,22,male,12,45,95,change,valid,clock,5,1,3,0.39036840424023467,1,j,change,9.232838291872895,0.020575447070561637,0.5001834516360759,0.03536639653520979,0.35325055773159875,1.001108407088168,13.318081724496551
13,22,male,13,165,165,same,valid,anti,3,1,2,2.471378658288586,1,f,same,1.3695219481280674,0,0.4997257847048786,0.03534138040299695,0.35327685674224085,1.0011019926951121,9.183837461850544
13,22,male,14,75,75,same,valid,anti,2,0,2,5.945015503587683,1,f,same,2.7894350459334873,0.0723357464867447,0.49944643789535803,0.03537505596545998,0.353307966547618,1.0010529225899063,12.539742616071635
13,22,male,15,105,155,change,valid,clock,2,0,3,1.3557755834851832,1,f,same,1.4912068295325298,0,0.4995711978365307,0.03533304169218354,0.3532681973117633,1.0010205299058725,8.135314504096868
13,22,male,16,165,165,same,catch,anti,1,1,3,0.36610917040093227,1,f,same,2.8232074658401416,0,0.5000237332535562,0.03534138040299695,0.3533050800708679,1.0010490739541638,8.488973658654231
13,22,male,17,45,355,change,valid,anti,5,0,2,1.9245375543457612,1,j,change,0.8402344717169399,0,0.49978287280146105,0.03535100199223962,0.3533102115850397,1.0009563859771333,8.170593023449783
13,22,male,18,75,25,change,valid,anti,1,2,1,0.7201159850519616,0,f,same,0.8603785518096174,0.1384402033061635,0.49965875429916196,0.0353391353655752,0.35331309806201716,1.001037207327272,5.379244884842365
