subject,age,gender,ntrial,memory_ori,test_ori,type,trial_type,which_change,trial,quest,pas,pas_rt,vis,test_key,test,test_rt,contrast,fix_dur,target_dur,mask_dur,retention_dur,trial_dur
33,24,female,1,135,135,same,valid,clock,2,2,1,0.7669499271644327,0,j,change,0.8440168596441708,0.2,0.5120138756592496,0.03533283429214862,0.35331070328265923,1.001091091726721,5.332400356897779
33,24,female,2,105,105,same,valid,anti,5,0,2,2.157436967162539,1,f,same,1.707551817235526,0.2,0.49985631713889234,0.03532674059920282,0.35328119698101546,1.001048115156891,7.547161654123329
33,24,female,3,45,45,same,valid,clock,2,2,1,0.292710532274441,0,j,change,1.0703305154813734,0.3670372117912738,0.4989413010612225,0.03529787573870635,0.3533337951712383,1.001067037676421,5.037157093475116
33,24,female,4,75,75,same,valid,clock,2,0,1,0.3345058881106979,0,j,change,1.2958125426157494,0.0723357464867447,0.5000602954864917,0.03532513699565243,0.3533312294057396,1.0010400971400486,5.332809596475727
33,24,female,5,15,65,change,catch,clock,5,2,1,0.2396482592243956,0,j,change,1.8817297620446425,0,0.4999509297372242,0.03533892798463967,0.3533591321042877,1.0010356070504258,7.310910468258726
33,24,female,6,45,355,change,valid,anti,4,2,2,1.3673470435005584,1,j,change,1.3052096583105595,0.4895303947352734,0.500635668372297,0.035275425291729334,0.35333860598120737,1.0010773007377338,6.393031317090845
33,24,female,7,165,115,change,valid,anti,5,1,1,0.2345369338720502,0,j,change,1.2070447578528274,0.2,0.4996917874341307,0.03532770276115116,0.3532866492323592,1.0010737728105141,5.120208352977443
33,24,female,8,165,215,change,valid,clock,2,0,1,0.13834799347523585,0,j,change,1.2789808010190882,0.15406686854268764,0.49970333337819284,0.03534117302956474,0.3532702924781006,1.0010798665032326,5.0962825908329705
33,24,female,9,45,45,same,catch,anti,2,1,1,0.26207048285778,0,j,change,0.9045339639983467,0,0.5006276503554545,0.03528953700129023,0.35334694471885086,1.0010612647042763,6.416908008972541
33,24,female,10,45,355,change,valid,anti,5,2,1,0.20267333509082164,0,j,change,0.546515081248117,0.45516976949469906,0.5002177693365866,0.035317439699610986,0.35332353210947076,1.0010798665032326,4.426011023811043
33,24,female,11,15,65,change,valid,clock,4,1,2,0.40254004357939266,1,j,change,1.5915054564206912,0.33948538693435915,0.49995638198879533,0.035359133386918984,0.3533113447242613,1.0010234196652164,5.697691580889568
33,24,female,12,75,75,same,valid,clock,4,1,1,1.081180816541746,0,j,change,2.0588201712776026,0.277883819201003,0.4996385478020784,0.03534887032583356,0.35330717535543954,1.0010298340780537,6.839445307182814
33,24,female,13,75,25,change,valid,anti,1,0,1,0.22872419240911768,0,f,same,1.7594947751395011,0.21311075128297638,0.5003229657172596,0.035304931593600486,0.3533283429196672,1.0010461908323123,5.744693516118332
33,24,female,14,105,105,same,valid,clock,3,2,1,0.37715917174500646,0,f,same,2.8248242931795176,0.5317475100709874,0.5005833909026478,0.035285688353269506,0.353319042019848,1.0010994304643646,6.934855537787371
33,24,female,15,105,105,same,valid,anti,1,2,2,0.2951521787517777,1,f,same,1.417139248577314,0.5965457343825109,0.4996959568029524,0.03533732438154402,0.3532625951816044,1.0010798665030052,5.532361677985136
33,24,female,16,165,165,same,valid,clock,5,2,3,0.9626504741213466,1,f,same,0.8515169125630564,0.5780348544544248,0.5002347675322198,0.03534021086716166,0.3532927429250776,1.001042342184519,5.532747825674505
33,24,female,17,105,105,same,valid,clock,2,1,3,0.32010264344353345,1,f,same,1.045958630882069,0.3477553019009776,0.4999409873962577,0.03533187212997291,0.35329851589676764,1.0010522845254854,5.097337761844301
