subject,age,gender,ntrial,memory_ori,test_ori,type,trial_type,which_change,trial,quest,pas,pas_rt,vis,test_key,test,test_rt,contrast,fix_dur,target_dur,mask_dur,retention_dur,trial_dur
24,24,female,1,45,95,change,valid,clock,3,0,1,1.0416113159790257,0,j,change,1.7375322242028233,0.2,0.5018556779064056,0.03534768142890243,0.35329881545794706,1.0010744073601927,6.559664887533472
24,24,female,2,45,45,same,catch,anti,5,2,1,0.32007268766710695,0,j,change,2.2079359896956703,0,0.49917447028519746,0.03534254993110153,0.35327861018504336,1.0010397697496956,7.79327857169892
24,24,female,3,135,135,same,catch,clock,1,2,1,0.3921756845256823,0,f,same,1.4027314963000208,0,0.49973540714245246,0.03533549412168213,0.35330875773524895,1.0010798595767483,7.075534686039191
24,24,female,4,15,325,change,valid,anti,3,2,1,0.28947805611187505,0,j,change,3.0270333720550298,0.2,0.4997110325275571,0.035332286935499724,0.3533119649209766,1.0010320725027668,7.145592460290118
24,24,female,5,75,75,same,valid,anti,3,1,1,0.41754099906393094,0,j,change,2.121125799310903,0.2,0.5004961516974618,0.035330041905126564,0.35332671797732473,1.0010352796889492,6.32283471637902
24,24,female,6,105,105,same,valid,clock,4,0,2,2.3327423558321243,1,f,same,1.5660507158759174,0.3150270229513009,0.49906189805142276,0.03535249220794867,0.3533174171375322,1.0010564471176622,7.7582650790668595
24,24,female,7,105,55,change,valid,anti,5,0,1,0.7583901593266091,0,j,change,0.6805947277707673,0.23704404819608071,0.49936529786100436,0.035322986095707165,0.353291438929773,1.0010837081999853,5.237525809830913
24,24,female,8,135,185,change,valid,clock,3,0,1,0.5534381356242193,0,j,change,1.504415974609401,0.2914418032347298,0.49985792165352905,0.035293479982556164,0.35331164420222194,1.0010525984944252,5.87431646845198
24,24,female,9,15,15,same,catch,clock,2,0,1,0.3508809178197225,0,f,same,1.4586744443072348,0,0.5000311097055601,0.035317854597451515,0.35330202264412947,1.0010365625635131,7.086855732428376
24,24,female,10,135,185,change,catch,clock,5,0,1,0.9629842610547712,0,f,same,1.2526018297639894,0,0.500399936112899,0.035306950164795126,0.35331934144915067,1.0010574092739262,7.652578032442307
