subject,age,gender,ntrial,memory_ori,test_ori,type,trial_type,which_change,trial,quest,pas,pas_rt,vis,test_key,test,test_rt,contrast,fix_dur,target_dur,mask_dur,retention_dur,trial_dur
2,22,female,1,45,355,change,valid,anti,1,0,2,2.8941656686844226,1,j,change,1.0467822209278665,0.37944929578103603,0.5071559655389137,0.03532472214192239,0.35327769007790266,1.0010936645073798,7.112954375908885
2,22,female,2,165,115,change,valid,anti,3,2,2,1.2546172847742127,1,j,change,0.9896432216213498,0.420665017496822,0.5047960876958086,0.035344606951071,0.3532818594734408,1.0010657616298886,5.4732639118295765
2,22,female,3,105,55,change,valid,anti,4,0,2,1.1020267110718578,1,f,same,1.3248324704823062,0.2937466287016083,0.5049638256833759,0.03532087346911794,0.3533136110236228,1.001058385007127,5.626203752584274
2,22,female,4,75,75,same,catch,clock,1,2,1,1.3188314274920003,0,j,change,1.0228527773625729,0,0.5060177205723448,0.035327608646412045,0.3533261192100099,1.0010429903161366,5.580911288734455
2,22,female,5,165,165,same,valid,clock,2,0,2,2.079216910554919,1,j,change,1.8618830016312131,0.22313666311592528,0.5055594077919068,0.03532568431000982,0.35327833152337007,1.001072176084449,7.1462915792965305
2,22,female,6,105,105,same,catch,clock,4,1,2,1.2805214181846623,1,j,change,1.1372953067359504,0,0.5056671706289535,0.03541035511057089,0.353297895609785,1.0010699310254267,5.568857566394399
2,22,female,7,135,135,same,valid,clock,4,2,3,2.3831443528104046,1,f,same,0.9910996235356606,0.3645220550955335,0.5054936596322932,0.035336268160108375,0.35326999273240745,1.001074421143585,6.605186471402021
2,22,female,8,165,115,change,valid,anti,5,2,2,2.05541992547694,1,j,change,1.291589559577119,0.3185926137827865,0.5045385473440547,0.03532953298281427,0.35332419487372135,1.0010837221027487,6.497425237928155
2,22,female,9,15,65,change,catch,clock,3,0,2,1.789288373993486,1,j,change,0.983475082088944,0,0.50582240043002,0.035327608646412045,0.35331104524186685,1.0010798734299442,5.9458366661770015
2,22,female,10,75,75,same,valid,clock,5,2,2,1.9515025539150201,1,j,change,1.2226915821188413,0.28080340971501866,0.505398725704481,0.0353314573192165,0.35331778041904727,1.0010747418663186,6.322106968727553
2,22,female,11,165,215,change,valid,clock,2,0,3,1.0917151545979777,1,j,change,0.8416152494678499,0.1618813254764418,0.5053753129452616,0.03534396550560359,0.35327640718708153,1.0010654409071549,5.073837107491499
2,22,female,12,15,15,same,valid,anti,3,1,3,5.183226008817314,1,f,same,0.907427553546313,0.6421270184668036,0.5050638911749274,0.035334343823819836,0.3532991785008335,1.00104619754336,9.277891491803302
2,22,female,13,75,25,change,catch,anti,5,0,2,1.61421160900818,1,f,same,1.0936529613292123,0,0.505109433802545,0.0353712269376274,0.35330238572805683,1.0010455560978926,5.8626601128045195
2,22,female,14,45,45,same,valid,clock,5,1,2,1.6093330955708325,1,j,change,1.7846369322485316,0.6207099421952555,0.5055731988692287,0.03534011683291283,0.3532994992235672,1.0010474804342948,6.5691837414102565
2,22,female,15,45,95,change,valid,clock,1,1,2,1.380887747686188,1,j,change,0.9165226087073961,0.602710773216857,0.5056427957016467,0.03532664647821093,0.353312328132688,1.0010904572800428,5.450782210664784
2,22,female,16,165,215,change,catch,clock,4,1,1,0.6549110026497829,0,j,change,0.7224754149991668,0,0.5054372124320707,0.03527533084150036,0.35332932643734694,1.0010987960710054,4.578796763779337
2,22,female,17,75,125,change,catch,clock,4,0,2,1.065928405706586,1,f,same,1.368206050241838,0,0.505537598646356,0.03529008408702339,0.3533395895647118,1.0010692895799593,5.638743690582032
2,22,female,18,135,135,same,valid,clock,1,0,2,2.2040784385164898,1,f,same,1.1416314780378798,0.10730205025175515,0.506039208995162,0.03538149006487856,0.35328955681893603,1.0010587057298608,6.48722304790499
2,22,female,19,165,165,same,catch,anti,3,0,2,1.0112137495117395,1,j,change,2.005994949258479,0,0.5058057228480948,0.03534268261478246,0.3533334958327714,1.0010676859662908,6.168897720880068
2,22,female,20,45,95,change,catch,clock,4,0,1,2.5602320493092066,0,j,change,1.077020922026577,0,0.5060119475631382,0.03532857081461316,0.3532889153734686,1.0011010411301413,6.817026720693548
2,22,female,21,15,325,change,valid,anti,4,1,3,3.077392639669938,1,j,change,1.39523046814611,0.5868990059864885,0.5059757058946843,0.035290725532490796,0.3533389481192444,1.0010728175299164,7.641227046676136
2,22,female,22,75,75,same,valid,anti,4,0,2,1.9886120980461328,1,j,change,1.242574467006989,0.058451918880608356,0.5057021294064725,0.03535551152390326,0.3533142524690902,1.0010362551388425,6.380720330421468
2,22,female,23,75,75,same,valid,anti,1,1,2,1.4202737817507796,1,f,same,1.246873113749416,0.5732676194452382,0.5056549831651864,0.03530259227352417,0.3533402310101792,1.0010750625890523,5.815570639501971
2,22,female,24,105,105,same,valid,anti,3,1,2,1.087880593644968,1,f,same,1.0182119194678307,0.5606206171671305,0.505546899605406,0.035315421182758655,0.3533341372783525,1.0010769869253409,5.238678006567056
2,22,female,25,165,215,change,catch,clock,1,2,1,0.8696852234697872,0,j,change,0.9902574056482081,0,0.5054731333776772,0.035306761669062325,0.3533723032830949,1.0010295199615484,5.073898365532955
2,22,female,26,105,105,same,valid,anti,1,2,2,1.1870862275886793,1,f,same,1.112096763330328,0.2468890542433892,0.5053971220909261,0.0353391546648254,0.35329789561001235,1.0010741004207375,5.439003668426722
2,22,female,27,15,15,same,valid,anti,1,1,3,1.8161020770644427,1,f,same,0.8840074176753205,0.5492597106398625,0.5050815309250538,0.03537475488747077,0.3532395240731603,1.0010801941527916,5.850730189438082
2,22,female,28,135,85,change,catch,anti,4,2,1,6.228271836888098,0,j,change,1.220118102937704,0,0.5052204038668151,0.03532087346911794,0.3533408724556466,1.00107281753003,10.574029220406373
2,22,female,29,135,185,change,catch,clock,5,2,2,1.20252132966516,1,f,same,1.5631118186968251,0,0.5051556178755163,0.03534236189193507,0.3533200254782969,1.0010564606707248,5.945102531849216
2,22,female,30,15,325,change,valid,anti,2,2,2,1.6026315941394387,1,j,change,0.7900193010937073,0.21701595052579076,0.5054285529183744,0.03532023202365053,0.3533129695781554,1.0010692895798456,5.545028188320657
2,22,female,31,135,135,same,valid,clock,1,2,2,1.3185187228307313,1,f,same,1.7829669289965295,0.18958278050983812,0.5052566455351553,0.03533081587374909,0.3532754450188804,1.0010776283706946,6.274957520274484
2,22,female,32,105,55,change,catch,anti,1,0,1,1.5075045911460165,0,j,change,1.4393878942564697,0,0.5052300255488262,0.035336909605575784,0.3532731999596308,1.0010949473980872,6.062900783140776
2,22,female,33,165,215,change,catch,clock,5,2,1,1.5827955347699572,0,j,change,1.7933766266255589,0,0.5056071954784329,0.03534556911927211,0.3533129695781554,1.001040745256887,6.56922030380133
2,22,female,34,75,125,change,valid,clock,2,0,1,0.8265608452711604,0,j,change,0.9802598367266455,0.013269266322788076,0.5058397194575264,0.035365453928307033,0.35330366861899165,1.0010715346388679,4.932897428381011
