subject,age,gender,ntrial,memory_ori,test_ori,type,trial_type,which_change,trial,quest,pas,pas_rt,vis,test_key,test,test_rt,contrast,fix_dur,target_dur,mask_dur,retention_dur,trial_dur
32,22,female,1,75,125,change,valid,clock,1,0,1,0.42282682495533663,0,j,change,0.5917311923913076,0.2,0.5037169576589804,0.03533603356299864,0.3533282638563833,1.0010282209113939,4.876870064756076
32,22,female,2,165,165,same,valid,anti,5,0,1,0.5147429110966186,0,j,change,0.4805691584406304,0.3150270229513009,0.49989207849830564,0.03532192198326811,0.35334429974136583,1.000991017659544,4.849409895488861
32,22,female,3,105,105,same,valid,clock,2,0,1,0.571822321116997,0,f,same,1.1769226303840696,0.3996559747928428,0.49935872497917444,0.03534565509289678,0.3533125486901554,1.0010195615341217,5.54380314091577
32,22,female,4,75,75,same,valid,anti,3,2,1,1.4996842534346797,0,j,change,1.446455059272921,0.2,0.500292654891382,0.03533603356299864,0.3532724589767895,1.0010763285645226,6.828853815915863
32,22,female,5,105,155,change,valid,clock,4,2,1,0.7058111158821703,0,f,same,1.1971323348534497,0.3670372117912738,0.499872194001,0.035331222798049566,0.3533122279695817,1.0010618962696753,5.744835082154168
32,22,female,6,15,15,same,valid,clock,5,1,1,1.7315948937884968,0,j,change,0.9333086808346707,0.2,0.49993120605540753,0.0352763800710818,0.35339112452311383,1.001038804595737,6.639821847738858
32,22,female,7,45,355,change,valid,anti,3,2,1,0.8461876448636758,0,f,same,1.2893168616992625,0.4895303947352734,0.49976411213901883,0.03534822083565814,0.35327855261493823,1.0010336731120333,5.991508999177313
32,22,female,8,75,75,same,catch,anti,4,0,1,1.0442776427389617,0,f,same,1.0731005414672836,0,0.5004065096709382,0.035290812367748,0.35329073988577875,1.0010663863158697,7.428725143978227
32,22,female,9,105,105,same,valid,clock,4,1,1,1.0365663066186244,0,f,same,2.9525995291223808,0.33948538693435915,0.5003782865132962,0.035312621172124636,0.35333211246688734,1.0010384838788013,7.841520240333921
32,22,female,10,15,15,same,valid,anti,1,2,1,0.6685527004920004,0,j,change,0.6474404964465066,0.5890718826496524,0.49997899299160053,0.035338278585186345,0.353283684096823,1.0010240515803162,5.226642531592006
32,22,female,11,75,75,same,valid,clock,2,0,1,0.6071885021428898,0,f,same,0.47547840655897744,0.46690619962159796,0.5000607760030107,0.03533282638636592,0.3532679689305951,1.0010974959332088,4.837772654134824
32,22,female,12,105,55,change,valid,anti,3,0,1,0.41245160770995426,0,f,same,0.9036881572101265,0.5261480498876727,0.5001473697775509,0.03532480844296515,0.3533045307467546,1.0010471432560735,5.108578332248726
32,22,female,13,105,155,change,valid,clock,3,1,1,0.43919978370831814,0,f,same,0.5462880615723407,0.43994886294822894,0.5004170933552814,0.035284398014482576,0.3533433375869208,1.001083705072233,4.8266960273012955
32,22,female,14,135,135,same,valid,clock,5,2,1,0.5086104681613506,0,j,change,0.29727996120709577,0.6758845662617424,0.4993410855076945,0.03533988217532169,0.3532942677811661,1.0010782528715936,4.696052318035072
32,22,female,15,15,15,same,valid,anti,3,0,1,0.5325514022260904,0,j,change,0.8007105179676728,0.5793366454280041,0.4996954785547132,0.035338278585186345,0.35330966222863935,1.0010448982302478,5.179469128837809
32,22,female,16,15,15,same,valid,clock,3,2,1,0.3826562929461943,0,j,change,0.5321758418103855,0.7550828364566777,0.4995671914784907,0.03535912523511797,0.3533026064396836,1.0010615755527397,4.790544408655478
32,22,female,17,165,165,same,catch,clock,2,1,1,0.47574652654839156,0,f,same,1.7637122046235163,0,0.4998782876373298,0.03537163322653214,0.35328272194419696,1.001062216986611,7.593744337327735
32,22,female,18,165,115,change,valid,anti,5,0,1,0.5335408162973181,0,f,same,0.8848492001452541,0.6269063766957922,0.5003141429770039,0.035289208781250636,0.3533256981154409,1.0010400874671177,5.226986661671617
32,22,female,19,45,45,same,valid,clock,5,1,1,0.37336221503028355,0,j,change,1.6080881152611255,0.5219745890327315,0.49970574152030167,0.035302358204717166,0.3533481483518699,1.001021165122438,5.85049456271372
32,22,female,20,45,45,same,catch,clock,1,0,1,0.47948737767364946,0,f,same,0.6755004077931517,0,0.5001589156145201,0.035319676959261415,0.35328753270914603,1.0009990356011258,6.474829273956857
32,22,female,21,15,15,same,catch,clock,1,2,1,0.2855237335897982,0,f,same,0.47790399444238574,0,0.5003603263230616,0.03534084432794771,0.3533093415117037,1.0010051292392745,6.086781395935759
32,22,female,22,105,105,same,valid,anti,1,0,1,0.4316173760980746,0,f,same,0.7496836921800423,0.6716318026819171,0.5001185051860375,0.035352069447981194,0.35329073988577875,1.0010772907171486,4.979829423089541
32,22,female,23,75,75,same,valid,anti,4,0,1,0.5968476016896602,0,f,same,1.1145648486344726,0.7121782405476902,0.49965795458410867,0.03537644399148121,0.35329266419284977,1.0010400874671177,5.543818214648127
