subject,age,gender,ntrial,memory_ori,test_ori,type,trial_type,which_change,trial,quest,pas,pas_rt,vis,test_key,test,test_rt,contrast,fix_dur,target_dur,mask_dur,retention_dur,trial_dur
22,24,male,1,75,75,same,catch,clock,5,2,1,1.5301597136894998,0,f,same,1.5980310562772502,0,0.508311853334817,0.03536478473324678,0.3533062840888306,1.0010545163804636,8.426383499512667
22,24,male,2,75,125,change,valid,clock,4,0,2,1.5480284424356796,1,j,change,0.8390695111665991,0.2,0.5002012497043324,0.03536157756570901,0.35329409685800783,1.0010506677790545,6.16875244746916
22,24,male,3,105,105,same,valid,anti,3,0,1,1.6508505245492415,0,j,change,1.3250027180729376,0.0723357464867447,0.500320877019476,0.03533816525123257,0.3532803060406877,1.0010557992463873,6.734771170265958
22,24,male,4,135,185,change,valid,clock,4,1,1,0.559994060327881,0,j,change,0.38645074738269614,0.2,0.49960471671693085,0.03533495808551379,0.35330917053943267,1.0010397634141555,4.719679847799853
22,24,male,5,165,115,change,catch,anti,1,0,1,0.5143086134557961,0,f,same,0.9594049679653835,0,0.500178799538844,0.03534746603327221,0.3533059633737139,1.0010086538986798,6.757761423366901
22,24,male,6,165,115,change,catch,anti,2,1,1,0.5697595619258209,0,j,change,0.4088095093775337,0,0.5004305621168896,0.03532982661636197,0.3532639494915202,1.0010593271290418,6.287037562655314
22,24,male,7,15,65,change,valid,clock,4,2,1,0.6441462634757045,0,f,same,1.0817044935938611,0.2,0.5003179905688739,0.03532854375043826,0.35329794545759796,1.0010615721457725,5.474098120695999
22,24,male,8,45,355,change,valid,anti,1,0,2,1.2335070655499294,1,j,change,1.130276069694446,0.15406686854268764,0.4994648842512106,0.035346503884284175,0.3532668359403033,1.0010702314975788,6.155988245092885
22,24,male,9,15,65,change,valid,clock,3,2,2,1.4608425803962746,1,f,same,1.2846504685512627,0.3670372117912738,0.4997291547788336,0.03532533658471948,0.35331750917430327,1.0010137853641936,6.580964119180862
22,24,male,10,135,85,change,catch,anti,5,1,1,1.1484283119698375,0,j,change,1.7254100923764781,0,0.49923076109007525,0.03532758160145022,0.35332777210533095,1.0010618928645272,8.193266104706709
22,24,male,11,105,55,change,valid,anti,5,2,1,0.5445454595010233,0,j,change,2.023575240287755,0.3227502669243441,0.5001813652706915,0.03523457377013983,0.3533707481383317,1.0010676657639124,6.369443142868477
22,24,male,12,165,165,same,valid,clock,4,2,2,1.2425685940779658,1,j,change,1.0517601411411306,0.410545444309991,0.49916886277424055,0.035336882383489865,0.3533072462396376,1.00105708211413,6.050145653471191
22,24,male,13,135,185,change,catch,clock,1,1,1,1.3345995227100502,0,j,change,0.3358092659545946,0,0.4994183803355554,0.03532309156798874,0.3532931347072008,1.0010246897309116,6.969084838216077
22,24,male,14,15,15,same,valid,clock,3,0,1,1.231385204122489,0,j,change,1.3403368230501655,0.09412333650666384,0.5000540407581866,0.03530256570047641,0.35329249327332946,1.0011013410130545,6.356822300840577
22,24,male,15,135,135,same,valid,anti,1,1,2,0.9224407692454406,1,j,change,1.452853207663793,0.33948538693435915,0.500410356968132,0.03531411150106578,0.3533027562061761,1.0011532971129782,6.168615501454042
22,24,male,16,135,135,same,valid,anti,4,2,2,1.403770088487363,1,f,same,1.4398792565916665,0.38602135432929263,0.50010535542242,0.03532758159963123,0.3532652323574439,1.0010833808810276,6.663296896713291
22,24,male,17,105,105,same,valid,clock,2,2,1,1.6303974609509169,0,j,change,2.6049553289813048,0.3675055704312141,0.5003863032179652,0.03530096211761702,0.353319754191034,1.001037197680489,8.017862635129859
22,24,male,18,45,45,same,valid,anti,1,2,1,1.5592464697929245,0,f,same,2.2274134489962307,0.41814697939732703,0.500067510858571,0.03531475293311814,0.35331782988941995,1.0010471398964,7.546542882864742
22,24,male,19,105,105,same,valid,clock,2,1,2,1.533799847788032,1,f,same,1.1772395724601665,0.277883819201003,0.5001775166711013,0.03532758160145022,0.35329088969047007,1.0010756836800283,6.439610816745699
