subject,age,gender,ntrial,memory_ori,test_ori,type,trial_type,which_change,trial,quest,pas,pas_rt,vis,test_key,test,test_rt,contrast,fix_dur,target_dur,mask_dur,retention_dur,trial_dur
35,24,male,1,165,165,same,valid,clock,4,1,1,0.740496244681708,0,f,same,0.3843324102991801,0.2,0.511120347866381,0.035340852308763715,0.3532770276121937,1.0010776214585348,4.872268822935894
35,24,male,2,15,15,same,valid,clock,2,2,1,0.5248029331830821,0,j,change,2.3967295471616126,0.2,0.49984124326715573,0.0352914613251869,0.3533078167968142,1.0010853187548037,6.59220655181025
35,24,male,3,105,55,change,valid,anti,5,1,1,0.6935376067438028,0,f,same,1.5982110842348902,0.33948538693435915,0.5006048791876765,0.03529338564931095,0.3533273807574915,1.0010500394807877,5.980904611899177
35,24,male,4,45,45,same,valid,anti,2,0,1,0.4780489150341509,0,j,change,1.5676945122768302,0.2,0.5000760107991482,0.035367151403761454,0.35327285824337196,1.0010920538886694,5.68580727638232
35,24,male,5,45,95,change,catch,clock,5,2,1,0.6096351545777452,0,f,same,1.4879428270501194,0,0.4999185369492807,0.03533860726406601,0.3533046095899408,1.0010452286705913,7.346373515143341
35,24,male,6,15,325,change,catch,anti,1,2,1,1.0228163893395958,0,j,change,2.729244401339656,0,0.5004797981257525,0.035342455912086734,0.3532635573440075,1.0010978268608142,8.984265123102205
35,24,male,7,165,215,change,valid,clock,3,0,2,0.9607655987310864,1,j,change,3.0361952521795956,0.3150270229513009,0.5000744071960526,0.035354643297750954,0.35331679697560503,1.0010558124527051,7.735080555411287
35,24,male,8,165,165,same,catch,clock,4,1,1,0.4488594852175538,0,f,same,2.5020320861790424,0,0.4999275171280715,0.03531872258236035,0.35334534111530047,1.0010330412851545,8.170527181397574
35,24,male,9,105,55,change,valid,anti,3,0,2,0.6829445236623997,1,j,change,2.2604854812957456,0.23704404819608071,0.500288327884391,0.03527831177780172,0.35336298075230843,1.0010410593017696,6.581668311963767
35,24,male,10,135,135,same,catch,anti,3,0,1,0.39109801287895607,0,f,same,2.9600545610007885,0,0.4993681802759511,0.03532930636447418,0.3533203249028247,1.001044266508643,8.558565519063905
35,24,male,11,45,45,same,catch,anti,2,1,2,0.43301395968796896,1,f,same,2.1128266459866154,0,0.5008643422115711,0.03528632979464419,0.35333411589181196,1.0010596611009532,7.747199627450755
35,24,male,12,75,25,change,catch,anti,4,2,1,0.5595033063093524,0,f,same,2.042214537754944,0,0.5004124467843667,0.03529530997320762,0.3533299465232176,1.0010654340728706,7.829605276239818
35,24,male,13,165,115,change,valid,anti,5,0,1,0.9771258809394112,0,j,change,2.258936400449329,0.18463693706663242,0.5004397080415401,0.0353309099677972,0.35329979877997175,1.0010413800225706,6.957977253207218
35,24,male,14,135,185,change,catch,clock,3,2,1,0.4235510962553235,0,f,same,1.8117905257829534,0,0.500246313476282,0.0353437387948361,0.35331551409285566,1.0010413800225706,7.452685682836773
