subject,age,gender,ntrial,memory_ori,test_ori,type,trial_type,which_change,trial,quest,pas,pas_rt,vis,test_key,test,test_rt,contrast,fix_dur,target_dur,mask_dur,retention_dur,trial_dur
34,24,female,1,135,135,same,catch,clock,3,0,1,0.5999227704621717,0,j,change,2.034018200256696,0,0.5111960379449556,0.03529627213538333,0.3533382852606337,1.0010182881339915,7.816506402546793
34,24,female,2,15,15,same,valid,anti,5,0,2,0.9960368546537666,1,f,same,2.112717280237348,0.2,0.5003319458955957,0.0353414937501384,0.3533074960760132,1.0010365692126015,6.757587128581463
34,24,female,3,15,65,change,valid,clock,3,1,2,0.6685868213310187,1,j,change,2.701071656053955,0.2,0.5004672900195146,0.03531166672746622,0.353318079858127,1.0010580574976302,7.016750919987089
34,24,female,4,15,15,same,valid,clock,4,2,2,1.6061203767314964,1,f,same,1.6697760535835187,0.2,0.5003543963428001,0.03528857483911452,0.3533770924618693,1.0010679998383694,6.887687148530176
34,24,female,5,15,15,same,valid,anti,3,0,1,0.9351178872975652,0,j,change,1.7069424479582267,0.0723357464867447,0.5000314306257678,0.03533155140917188,0.35329915733859707,1.0010792250618579,6.262846947605112
34,24,female,6,75,125,change,valid,clock,1,0,2,0.6054263371968318,1,j,change,1.8928068126201651,0.15406686854268764,0.4999977549553023,0.03532096762728543,0.35335111408744524,1.0010240611063637,6.1095495221584315
34,24,female,7,105,55,change,valid,anti,2,2,1,0.4674830932099212,0,j,change,1.3239346140351245,0.11397766455402543,0.5005096251479699,0.035328344202753215,0.3532872906737339,1.0010468322739143,5.4508104290664505
34,24,female,8,15,325,change,valid,anti,3,0,2,0.811848896945321,1,f,same,2.8670798831806223,0.09412333650666384,0.5001141765594639,0.03533155140917188,0.3532811969807881,1.0010554917321315,7.263755869990064
34,24,female,9,45,95,change,valid,clock,4,0,1,0.7627632395096953,0,j,change,1.4448097452900583,0.05063924580022716,0.5003919206612863,0.03531519465514066,0.35329562941115,1.0010949403747418,5.886691952284309
34,24,female,10,15,15,same,catch,anti,2,1,2,0.5369774898988453,1,f,same,2.5070811917209994,0,0.4995372000698808,0.035332192850773936,0.3533068546346385,1.0010872430787003,8.123448593928515
34,24,female,11,105,105,same,valid,clock,5,2,2,0.5403299830852575,1,f,same,4.754787237113305,0.24043453680453014,0.5000865945814894,0.035321929789233764,0.3533107032828866,1.0010522845254854,8.925020959095946
34,24,female,12,15,15,same,valid,anti,5,2,2,0.758442169893442,1,f,same,3.2148276864043055,0.20821230939956695,0.4997633081438835,0.035326419878401794,0.3533126276065559,1.00107184848639,7.628779612941344
34,24,female,13,15,15,same,valid,anti,5,1,2,0.5624731797336153,1,f,same,1.441299136812404,0.09338226537841544,0.5003967314714828,0.035329627085275206,0.3533084582381889,1.00106671695562,5.6509366005791435
34,24,female,14,165,165,same,valid,anti,1,1,1,0.6373204044416525,0,j,change,1.4779055528933895,0.020575447070561637,0.49965137662934467,0.03532545771645346,0.35329979877997175,1.0010737728105141,5.721293415155742
34,24,female,15,15,65,change,catch,clock,4,0,1,0.5550905105810671,0,j,change,1.4047090774854496,0,0.4995121838576324,0.03537003789006121,0.35329659157309834,1.0010009692177846,7.098655603086399
34,24,female,16,135,185,change,catch,clock,4,1,1,0.5894185270069556,0,j,change,1.375982126878398,0,0.5003729981417564,0.03534566311873277,0.3533023645452431,1.0010760178549845,7.182055806679955
34,24,female,17,135,135,same,valid,anti,2,1,1,0.457301494750709,0,j,change,1.446903409837887,0.10418102663402222,0.5003566413874978,0.035327382040577504,0.3533074960760132,1.0010259854302603,5.557055566139297
34,24,female,18,15,15,same,valid,anti,2,1,2,0.7240586687912582,1,f,same,2.3552061624552607,0.1621238415653195,0.49878062000448153,0.035501533365504656,0.35331391048953265,1.001031758402405,6.63903690147913
34,24,female,19,105,105,same,valid,clock,1,1,2,0.49856509571282004,1,f,same,1.874257291103504,0.1316742256541137,0.49928062353251335,0.03536298203516708,0.3533103825620856,1.0010628683075993,5.9681877165267
