subject,age,gender,ntrial,memory_ori,test_ori,type,trial_type,which_change,trial,quest,pas,pas_rt,vis,test_key,test,test_rt,contrast,fix_dur,target_dur,mask_dur,retention_dur,trial_dur
3,23,female,1,45,355,change,valid,anti,2,1,1,2.681674849293813,0,j,change,5.479528785871025,0.5,0.5041664688894798,0.035303214765463053,0.3533355484371441,1.0010487532342722,11.420300527134941
3,23,female,2,135,85,change,valid,anti,4,2,2,0.9401918801484044,1,j,change,3.982176005808924,0.5,0.5050394677593886,0.03533143809409012,0.35330828726728214,1.0010731279273841,8.147479720896854
3,23,female,3,45,95,change,valid,clock,4,2,2,2.227583621232725,1,j,change,3.004867562030313,0.4139776645540254,0.5045724999583854,0.03532438226193335,0.3533204746136107,1.0010368866076078,8.53538692259258
3,23,female,4,165,165,same,valid,anti,5,2,2,1.7502812711275055,1,f,same,4.017721043185702,0.3561435161598371,0.5051135539970346,0.03532277866361255,0.35332336109058815,1.0010433010006636,8.959743270339686
3,23,female,5,135,85,change,catch,anti,1,1,2,1.2517957092843517,1,f,same,2.3959367386917165,0,0.5055141328318769,0.035292631017227905,0.3533272097261033,1.0010660720952274,6.934822712595405
3,23,female,6,45,95,change,valid,clock,2,1,2,1.2025341341916373,1,j,change,2.308048010447692,0.6394853869343591,0.505402843115462,0.03529840397072803,0.35327781890123333,1.00119371851315,6.746151364277239
3,23,female,7,165,165,same,valid,anti,3,2,1,1.155096812431566,0,j,change,1.6651949911288284,0.31213294259403945,0.5050599938165306,0.03534554975840365,0.35329128912621854,1.0010330379718653,6.085619316046177
3,23,female,8,165,165,same,valid,clock,5,1,2,2.35202252221643,1,f,same,2.373090916321871,0.5778838192010031,0.5052937984366963,0.03532309938327671,0.3533102115852671,1.0010509982719213,7.959315430334982
3,23,female,9,75,125,change,valid,clock,1,0,3,3.877077140771462,1,j,change,1.3830681837132488,0.5,0.5050147723466125,0.03534875695481787,0.3533153430994389,1.0010692792916416,8.44190837168071
3,23,female,10,15,65,change,valid,clock,1,2,3,2.117247083696384,1,f,same,2.984423929790637,0.40452473464041455,0.5050856513878443,0.03531315707436988,0.3533246439692448,1.0010795423202126,8.299952725924413
3,23,female,11,135,135,same,valid,anti,5,2,3,1.1087563518524348,1,j,change,1.240570842479201,0.38278292005740333,0.5057681427895204,0.03534041824400447,0.3532698009100841,1.0010917296667685,5.556799769594818
