subject,age,gender,ntrial,memory_ori,test_ori,type,trial_type,which_change,trial,quest,pas,pas_rt,vis,test_key,test,test_rt,contrast,fix_dur,target_dur,mask_dur,retention_dur,trial_dur
27,22,female,142,105,155,change,catch,clock,4,2,1,0.3142554934288455,0,j,change,1.9115724256398607,0,0.5001459269699353,0.035320741065334005,0.35325648060074855,1.0011164214986366,7.6175837829273405
27,22,female,143,15,15,same,valid,clock,3,1,1,0.3459902796601,0,j,change,1.5680026093666584,1,0.49973733145429833,0.03530983663245024,0.35330907845354886,1.001079218139239,5.779487671255765
27,22,female,144,135,185,change,valid,clock,3,2,1,5.03816711877289,0,j,change,1.5124502966327782,1,0.5000234124588587,0.03530021507390302,0.35332768013336135,1.0010391283124136,10.337472955402745
27,22,female,145,165,165,same,valid,clock,3,2,1,0.5487954129541777,0,j,change,1.7599084412497632,1,0.500003848623237,0.03530983663245024,0.3533164549817229,1.0010202059140738,6.20420731507852
27,22,female,146,45,355,change,valid,anti,3,2,1,0.6774904922965561,0,j,change,1.6859083937836203,1,0.4998078895496292,0.035333890528363554,0.35330394695574796,1.0010618993339904,6.203647661095374
27,22,female,147,105,105,same,catch,anti,5,2,1,0.5456648785534526,0,j,change,2.817016239266195,0,0.5002774216018224,0.035326834718944156,0.3533061919861211,1.0010432976544053,8.783772792670106
27,22,female,148,15,15,same,valid,anti,1,2,1,0.29892257788492316,0,j,change,1.0263367712232139,1,0.49964656808629115,0.035370131731951915,0.3533052298300845,1.0010519570571432,5.17946964686962
27,22,female,149,15,65,change,valid,clock,3,0,1,0.5247838516893353,0,j,change,1.875751684253828,1,0.49969082725510816,0.03535345436398529,0.3533119649209766,1.0010327139402762,6.250784317372791
27,22,female,150,75,125,change,valid,clock,2,1,1,0.40302912317451955,0,j,change,1.0638409646189757,1,0.49974021792195344,0.03535794442473161,0.35328213808975306,1.0010760109530565,5.320261590931068
27,22,female,151,135,185,change,catch,clock,3,2,1,0.274819611815019,0,j,change,0.7862978103257774,0,0.4998636945886119,0.03527712333357158,0.35333505666130804,1.0010721623298195,6.510197248362374
